productID,productName,productPrice,productDescription
1391347,Tranh xếp Hình Tia Sáng  Gương Thu Tia Sáng (2035 Mảnh Ghép),211200,"Bộ Xếp Hình Gương Thu Tia Sáng (2035 Mảnh Ghép)  được làm từ chất liệu giấy bồi cao cấp, bền đẹp không gây độc hại an toàn cho sức khỏe của bé.   Với màu sắc sinh động cùng ý tưởng về gương thu sẽ mang đến cho trẻ những giây phút trải nghiệm độc đáo, thú vị.   Kiểu dáng nhỏ gọn, dễ dàng mang theo. Bên cạnh đó, sau khi hoàn thành bộ xếp hình bé có thể đóng khung giấy và treo lên để trang trí phòng ngủ của mình.   Được thiết kế để hỗ trợ bé yêu của bạn phát triển trí não và các kỹ năng cần thiết khác ngay những năm tháng đầu đời.   Với bộ sản phẩm này, bé có thể phát huy khả năng tư duy và sáng tạo, rèn luyện tính kiên nhẫn, sự khéo léo, óc logic cũng như trí tưởng tượng của mình qua việc lắp ráp.   Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
74897599,"Bộ đồ chơi lắp ghép xe xúc KAVY nhiều màu sắc kích thích giác quan của bé, kích thước rất lớn, nhựa an toàn (kèm vít)",87000,"BỘ ĐỒ CHƠI LẮP RÁP XE XÚC CHO BÉ ƯU ĐIỂM : + Chất liệu nhựa ABS - loại nhựa nguyên sinh, ko chứa các chất phụ gia công nghiệp và hóa chất độc hại có chứng chỉ hợp quy của bộ Khoa học và công nghệ. + Sản phẩm chống chịu va đập tốt, cứng và rắn nhưng ko giòn, các chi tiết được bo cong mềm mại không sắc nhọn giúp tạo thuận lợi tối đa cho việc cầm nắm của trẻ + Thiết kế tinh xảo, chắc chắn, với các khớp chuyển động làm tăng trí tưởng tượng của bé + Sản phẩm có kích thước rất lớn với chiều dài xe hơn 25 cm, giúp bé có thể ôm trọn vào lòng, và cầm nắm 1 cách dễ dàng + Đặc biệt sản phẩm là sự kết hợp của rất nhiều màu sắc tươi vui khác nhau, giúp tăng khả năng nhận biết thị giác của trẻ + Với nhiều mảnh chi tiết khác nhau để lắp ráp thành một chiếc xe, kèm vít nhựa, ốc nhựa giúp tăng khả năng thực hành cho bé + Sản phẩm thích hợp dùng làm quà tặng đồ chơi cho trẻ em hoặc để trưng bày THÔNG SỐ SẢN PHẨM + Sản phẩm gồm 1 xe và bộ ốc vít để bé lắp ráp + Kích thước sản phẩm : 38 x 25 x 11 cm + Xuấ xứ : Trung Quốc + Nhãn hiệu : KAVY + Chất liệu : Nhựa nguyên sinh an toàn + Độ tuổi thích hợp : trên 2 tuổi + Trọng lượng : 340 gam               Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
154155413,"Bộ đồ chơi tàu hỏa, Đồ chơi xe lửa có đường ray lắp ráp nhiều màu sắc cho bé",59000,"Bộ đồ chơi tàu hỏa, Đồ chơi xe lửa có đường ray lắp ráp nhiều màu sắc cho bé.   - CÔNG DỤNG CỦA SẢN PHẨM:   Giúp các bé có lứa tuổi 3+ phát triển trí thông minh cũng như khả năng sáng tạo. Với kích thước nhỏ gọn có thể mang đi bất cứ đâu cùng với độ linh hoạt trong lắp ghép và có thể kết hợp nhiều bộ với nhau bộ đồ chơi tàu hỏa có đường ray lắp ráp sẽ mang đến cho bé một trải nghiệm thú vị.   MÔ TẢ SẢN PHẨM:   • Tên sản phẩm: Bộ đồ chơi tàu hỏa.   • Chất liệu: Được làm từ nhựa abs cao cấp,an toàn đối với trẻ.   • Một bộ sản phẩm bộ đồ chơi tàu hỏa bao gồm: một đường ray có thể tháo lắp tùy ý và ba toa tàu.   • Màu sắc: gồm 3 màu Xanh+Hồng+Cam.   • Kích thước hộp: 25cmx3,7cmx24cm.   • Kích thước đường ray: 55cmx26cm.   • Sử dụng pin để chạy.   - CAM KẾT TỪ SHOP:   • Sản phẩm ngoài đời y như trên hình ảnh mô tả.   • Chất lượng: mới 100%       Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
253117062,Mô Hình Minifigures Lắp Ráp Nhân Vật Hoạt Hình Truyện Tranh One Piece Sanji Chopper KT1013,18000,"• Chiều cao mỗi nhân vật từ 4 - 5cm   • Sản phẩm phù hợp với các bé từ 6 tuổi trở lên   • Chất liệu nhựa ABS đạt đầy đủ các chứng nhận 3C, EN71, ASTM, HR4040   Thank you again for your business! We appreciate you & look forward to serving you again soon!   Còn chần chờ gì nữa mà không mua hàng ngay.       Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
130978358,Bộ đồ chơi Heo Peppa leo thang - Có nhạc và đèn LED,90000,"Thông tin sản phẩm:   - Tên sản phẩm: Đồ chơi heo Pepa leo cầu thang   Có nhạc và đèn led khi chơi, rất thích hợp cho các bé chơi dịp rằm trung thu này   Có hộp đựng làm quà tặng cho bé   - Bộ sản phẩm gồm: 3 Chú heo Pepa, 1 cầu thang, 1 biển chào, 3 đường ray   - Kích thước: 20 x 15 x 6cm - Trọng Lương: 250g   - Chất liệu: Làm từ nhựa ABS an toàn và sử dụng Pin 2A (không kèm Pin)   - Quy cách: Đóng hộp Đặc điểm nổi bật:   - Chất liệu nhựa ABS thân thiện và an toàn với bé   - Thiết kế dễ thương có kèm đèn, nhạc nên cực cool cho bé tạo sự phấn khích và hứng thú cho bé khi chơi - Kích thích sự tồ mò của bé khi chơi Hướng dẫn: - Cách chơi lắp ghép theo số thứ tự đánh trên cầu trượt. Lắp pin và bật công tắc rùi cho 3 con heo lên bật thang nó sẽ tự động leo thang và trượt   * Quý khách chọn sản phẩm mẫu mã chi tiết trên phần mô tả sản phẩm hoặc để lại lời nhắn cho shop.   * Shop bán sỉ và lẻ cho tất cả quý khách hàng có nhu cầu   * Cam kết sản phẩm đúng như hình mô tả   * Giá cả luôn tốt so với các sản phẩm cùng loại   * Quý khách hàng đánh giá 5* và theo dõi shop sẽ được tặng voucher vô cùng hấp dẫn cho những lần mua hàng sau       Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
214009046,Đồ Chơi Lắp Ráp LEGO Technic Xe Tải Công Trình 42147 (177 chi tiết),309000,"Đồ Chơi Lắp Ráp LEGO Technic Xe Tải Công Trình 42147 (177 chi tiết)   Hãy sẵn sàng cho một ngày bận rộn tại công trường với chiếc Xe Tải Công Trình Lego Technic . Cùng lái chiếc xe tải đến khu vực công trường thi công để nhấc chiếc tipper giảm tải nào. Bạn muốn xây dựng một mô hình xe mới? Chắc chắn được rồi! Hãy biến chiếc xe này thành một máy đào cho những công trình xây dựng phức tạp hơn.   • Món quà cho trẻ đam mê xe công trình - Phù hợp cho trẻ em từ 7 tuổi trở lên có thể chế tạo chiếc xe mô hình với bộ đồ chơi LEGO Technic Xe Tải Công Trình (42147) này   • Mô hình 2 trong 1. Khi trẻ em sẵn sàng cho một thử thách lắp ráp mới, chiếc xe tải có thể biến hóa thành máy đào đấy.   • Nhập vai - Trẻ em có thể lái xe tải và giúp đỡ vận chuyển nhé   • Một món quà cho trẻ em từ 7 tuổi trở lên-Bộ đồ chơi xe tải công trính này làm một món quà thú vị cho trẻ em yêu thích xe cộ             Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
171618108,Đồ Chơi LEGO Rượt Đuổi Khủng Long Atrociraptor 76945 (169 chi tiết),609000,"Đồ Chơi LEGO Rượt Đuổi Khủng Long Atrociraptor 76945 (169 chi tiết)   Lấy cảm hứng từ bộ phim Jurassic World Dominion, bộ mô hình - Rượt Đuổi Khủng Long Atrociraptor - mang đến những pha hành động tuyệt vời. Bộ mô hình còn có một khu chợ với bức tường ngăn Atrociraptor hung dữ và chiếc mô tô lao đi cực ngầu, hố chiến đấu dành cho 2 mô hình khủng long, cùng mô hình nhân vật thu nhỏ của Owen Grady và Rainn Delacourt.   • Bộ mô hình mô tô và khủng long - Trẻ em có thể hồi tưởng lại cuộc phiêu lưu trong phim Jurassic World Dominion với bộ mô hình Rượt Đuổi Khủng Long Atrociraptor (76945).   • 2 mô hình nhân vật thu nhỏ LEGO và khủng long - Owen Grady và Rainn Delacourt với một khẩu trang bị an thần, cùng với một mô hình Khủng Long Atrociraptor có thể đứng, thay đổi tư thế được và 2 đồ chơi khủng long nhỏ dành cho các pha hành động nhập vai.   • Nhiều tính năng tạo cảm hứng vui chơi - Một chiếc mô tô dành cho Owen, một khu chợ có thể lắp ráp với bức tường có thể đóng lại để ngăn Atrociraptor hoặc mô tô có thể lao nhanh và hố chiến đấu xoay dành cho những con khủng long nhỏ   • Quà tặng lý tưởng dành cho trẻ em từ 6 tuổi trở lên để những bé yêu thích sáng tạo, lắp ráp và vui chơi một mình hoặc cùng bạn bè. Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
179970479,Đồ chơi lắp ráp siêu nhân biến hình 3 Robot (ảnh thật),231000,"Đồ chơi siêu nhân biến hình 3 Robot    Chất liệu: Nhựa ABS cao cấp.    Tiêu chuẩn chất lượng: 3C, EN71, ASTM, HR4040.    Độ tuổi: 3+   Địa chỉ: 12 Cựu Viên - Kiến An - Hải Phòng    Các sản phẩm của shop đều đảm bảo và cam kết 100% giống hình nhé, các chi tiết lắp ráp đều được làm từ chất lượng nhựa cao cấp, nhựa cứng có độ bền nhất định, không dễ bị nứt hay vỡ , không ảnh hưởng hay gây hại đến trẻ nhỏ nhé!    Tất cả các sản phẩm của shop đều hướng đến nhằm phát triển tư duy sáng tạo và rèn luyện tính kiên trì, nhẫn nại của các bé!       Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
139457837,"Hộp xe tăng pin đèn, WH-3041 (Hộp) - SP353476",130000,"Bé An Toàn - Bố Mẹ An Tâm là tiêu chí hàng đầu cho việc lựa chọn chất liệu sản phẩm của shop.Vì vây các phụ huynh hãy yên tâm khi chọn Con Cưng Ơi Làm điểm mua sắm đồ chơi cho bé.   Tham khảo thêm sản phẩm tại:   • Web:    • Fanpage: concungoishop   Để phục vụ Quý Khách được chu đáo, shop hiện có 3 chi nhanh tại 3 quận khác nhau:   CON CƯNG ƠI! HÂN HOAN CHÀO ĐÓN QUÝ KHÁCH   Thân ái!       Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
197334787,Đồ Chơi Duka Robot Biến Hình - Chiến Đấu Cơ DK81101,230000,"Robot biến hình – Chiến đấu cơ, DK 81101      Với món đồ chơi biến hình, bé có thể linh hoạt xoay chuyển các khớp nối thành một chiến binh người máy hoặc một chiếc chiến đấu cơ.      Đồ chơi giúp bé tăng cường tính sáng tạo, rèn luyện tính kiên trì, tỉ mỉ khi lắp ráp và trải nghiệm.      Sản phẩm được đóng gói kĩ càng, gọn đẹp trong hộp nguyên đai nguyên kiện, là món quà ý nghĩa dành cho các bé. Sản phẩm được làm từ nguyên liệu an toàn không độc hại với trẻ nhỏ, dễ lắp ráp, dễ chơi và có độ bền cao.   Thông tin sản phẩm :   Thương hiệu :  Cresta   Xuất xứ thương hiệu : Việt Nam   Độ tuổi: trên 6 tuổi   Mã sản phẩm: DK 81101   Mã barcode: 8936178581770   Chất liệu: Nhựa cao cấp ABS, an toàn cho trẻ   Kích thước: 17.3cm x 9cm x 19.5cm   Quy cách : Hộp giấy   Sản xuất tại : Trung Quốc   Năm sản xuất : 2022   Sản phẩm bảo vệ môi trường, không độc hại   Quy chuẩn quốc gia về đồ chơi trẻ em QCVN 3:2019/BKHCN. Giấy chứng nhận hợp quy số: VIC/22.HQ/9.14.0610, cấp ngày 16/06/2022.   Cảnh báo an toàn:   Sản phẩm dùng cho trẻ em   Sản phẩm có nhiều chi tiết nhỏ, không dùng cho trẻ dưới 6 tuổi để tránh nuốt phải.   Giá sản phẩm trên Tiki đã bao gồm thuế theo luật hiện hành. Bên cạnh đó, tuỳ vào loại sản phẩm, hình thức và địa chỉ giao hàng mà có thể phát sinh thêm chi phí khác như phí vận chuyển, phụ phí hàng cồng kềnh, thuế nhập khẩu (đối với đơn hàng giao từ nước ngoài có giá trị trên 1 triệu đồng)....."
